hlpi_name,year,hlpi,nzhec,nzhec_name,nzhec_short,level,nzhec1,nzhec1_name,nzhec1_short,weight,exp_pw,eqv_exp_pw
All households,2008,allhh,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.2,18.1,10.8
All households,2008,allhh,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.4,3,1.8
All households,2008,allhh,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,4.2,33.8,20
All households,2008,allhh,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.5,4.3,2.6
All households,2008,allhh,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.4,19.6,11.6
All households,2008,allhh,13,Other expenditure,Interest,group,13,Other expenditure,Interest,7.7,62.6,37.1
All households,2008,allhh,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,7.7,62.6,37.1
All households,2008,allhh,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,9.4,76.6,45.4
All households,2008,allhh,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,3.1,25.2,14.9
All households,2008,allhh,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,4.5,36.9,21.9
All households,2008,allhh,07.2.02,Petrol,Petrol,class,7,Transport,Transport,5.5,44.7,26.5
Beneficiary,2008,benef,1,Food,Food,group,1,Food,Food,18.2,88.1,55.2
Beneficiary,2008,benef,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,2.5,12.1,7.6
Beneficiary,2008,benef,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.9,18.8,11.8
Beneficiary,2008,benef,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,8.2,39.5,24.8
Beneficiary,2008,benef,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.7,8.2,5.2
Beneficiary,2008,benef,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,1.9,9.4,5.9
Beneficiary,2008,benef,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,6.7,32.4,20.3
Beneficiary,2008,benef,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.5,12.3,7.7
Beneficiary,2008,benef,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,4.1,20.1,12.6
Beneficiary,2008,benef,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,1.8,8.8,5.5
Beneficiary,2008,benef,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,1.4,6.7,4.2
Beneficiary,2008,benef,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.4,2.2,1.4
Beneficiary,2008,benef,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,33.3,161.2,101
Beneficiary,2008,benef,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,22.7,109.8,68.7
Beneficiary,2008,benef,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.1,5.3,3.3
Beneficiary,2008,benef,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,2.9,14.2,8.9
Beneficiary,2008,benef,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,6.6,31.9,20
Beneficiary,2008,benef,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,3.1,15,9.4
Beneficiary,2008,benef,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.1,5.1,3.2
Beneficiary,2008,benef,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.2,0.8,0.5
Beneficiary,2008,benef,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,0.7,3.5,2.2
Beneficiary,2008,benef,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.2,1,0.6
Beneficiary,2008,benef,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.2,1,0.7
Beneficiary,2008,benef,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.7,3.5,2.2
Beneficiary,2008,benef,6,Health,Health,group,6,Health,Health,2.7,12.9,8.1
Beneficiary,2008,benef,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,0.7,3.6,2.2
Beneficiary,2008,benef,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,1.8,8.5,5.3
Beneficiary,2008,benef,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.2,0.9,0.5
Beneficiary,2008,benef,7,Transport,Transport,group,7,Transport,Transport,10,48.5,30.4
Beneficiary,2008,benef,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,1.1,5.4,3.4
Beneficiary,2008,benef,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,8.1,39.1,24.5
Beneficiary,2008,benef,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,0.8,4,2.5
Beneficiary,2008,benef,8,Communication,Communication,group,8,Communication,Communication,3.5,17.2,10.7
Beneficiary,2008,benef,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.1,0.5,0.3
Beneficiary,2008,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.3,1.5,0.9
Beneficiary,2008,benef,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,3.1,15.2,9.5
Beneficiary,2008,benef,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,5.7,27.6,17.3
Beneficiary,2008,benef,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.4,6.7,4.2
Beneficiary,2008,benef,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0,0,0
Beneficiary,2008,benef,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.2,5.8,3.6
Beneficiary,2008,benef,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,1.8,8.6,5.4
Beneficiary,2008,benef,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1,4.9,3
Beneficiary,2008,benef,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.2,1,0.6
Beneficiary,2008,benef,10,Education,Education,group,10,Education,Education,1.3,6.3,3.9
Beneficiary,2008,benef,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0.1,0.4,0.2
Beneficiary,2008,benef,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.5,2.5,1.6
Beneficiary,2008,benef,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.6,3,1.9
Beneficiary,2008,benef,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0.1,0.3,0.2
Beneficiary,2008,benef,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,8.4,40.8,25.5
Beneficiary,2008,benef,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,1.8,8.6,5.4
Beneficiary,2008,benef,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.2,0.9,0.6
Beneficiary,2008,benef,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.6,12.8,8
Beneficiary,2008,benef,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.7,3.3,2
Beneficiary,2008,benef,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,3.2,15.3,9.6
Beneficiary,2008,benef,13,Other expenditure,Interest,group,13,Other expenditure,Interest,5.3,25.9,16.2
Beneficiary,2008,benef,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,5.3,25.9,16.2
Beneficiary,2008,benef,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,22.7,109.8,68.7
Beneficiary,2008,benef,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,2.6,12.4,7.7
Beneficiary,2008,benef,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,5.7,27.7,17.4
Beneficiary,2008,benef,07.2.02,Petrol,Petrol,class,7,Transport,Transport,5.1,24.7,15.5
Income quintile 1 (low),2008,disq1,1,Food,Food,group,1,Food,Food,19.3,78.2,53.3
Income quintile 1 (low),2008,disq1,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,3.1,12.5,8.5
Income quintile 1 (low),2008,disq1,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.7,15.2,10.3
Income quintile 1 (low),2008,disq1,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,8.7,35.3,24.1
Income quintile 1 (low),2008,disq1,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.6,6.6,4.5
Income quintile 1 (low),2008,disq1,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,2.1,8.5,5.8
Income quintile 1 (low),2008,disq1,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,5.4,22,15
Income quintile 1 (low),2008,disq1,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.7,11,7.5
Income quintile 1 (low),2008,disq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.7,11,7.5
Income quintile 1 (low),2008,disq1,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,2.5,10.3,7
Income quintile 1 (low),2008,disq1,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,2,8.1,5.5
Income quintile 1 (low),2008,disq1,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.6,2.2,1.5
Income quintile 1 (low),2008,disq1,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,27.6,112.1,76.4
Income quintile 1 (low),2008,disq1,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,13.5,54.9,37.4
Income quintile 1 (low),2008,disq1,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.8,7.4,5
Income quintile 1 (low),2008,disq1,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,4.7,19,13
Income quintile 1 (low),2008,disq1,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,7.6,30.8,21
Income quintile 1 (low),2008,disq1,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,4.1,16.4,11.2
Income quintile 1 (low),2008,disq1,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.3,5.2,3.6
Income quintile 1 (low),2008,disq1,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.3,1.3,0.9
Income quintile 1 (low),2008,disq1,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,0.8,3.2,2.2
Income quintile 1 (low),2008,disq1,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.2,0.7,0.5
Income quintile 1 (low),2008,disq1,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.5,2.2,1.5
Income quintile 1 (low),2008,disq1,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.9,3.7,2.5
Income quintile 1 (low),2008,disq1,6,Health,Health,group,6,Health,Health,3.6,14.5,9.9
Income quintile 1 (low),2008,disq1,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,1.3,5.2,3.5
Income quintile 1 (low),2008,disq1,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,2.2,8.9,6.1
Income quintile 1 (low),2008,disq1,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.1,0.5,0.3
Income quintile 1 (low),2008,disq1,7,Transport,Transport,group,7,Transport,Transport,11.1,44.9,30.6
Income quintile 1 (low),2008,disq1,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,0.9,3.6,2.5
Income quintile 1 (low),2008,disq1,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,8.8,35.7,24.3
Income quintile 1 (low),2008,disq1,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,1.4,5.6,3.8
Income quintile 1 (low),2008,disq1,8,Communication,Communication,group,8,Communication,Communication,4.5,18.3,12.5
Income quintile 1 (low),2008,disq1,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.2,0.6,0.4
Income quintile 1 (low),2008,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.1,0.3,0.2
Income quintile 1 (low),2008,disq1,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,4.3,17.3,11.8
Income quintile 1 (low),2008,disq1,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,7.6,30.9,21
Income quintile 1 (low),2008,disq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.2,4.7,3.2
Income quintile 1 (low),2008,disq1,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.4,1.5,1
Income quintile 1 (low),2008,disq1,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,2.1,8.4,5.8
Income quintile 1 (low),2008,disq1,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,1.9,7.8,5.3
Income quintile 1 (low),2008,disq1,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1.4,5.9,4
Income quintile 1 (low),2008,disq1,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.3,1.2,0.8
Income quintile 1 (low),2008,disq1,10,Education,Education,group,10,Education,Education,0.9,3.6,2.4
Income quintile 1 (low),2008,disq1,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0,0.1,0.1
Income quintile 1 (low),2008,disq1,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.1,0.4,0.3
Income quintile 1 (low),2008,disq1,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.7,2.9,1.9
Income quintile 1 (low),2008,disq1,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0,0.1,0.1
Income quintile 1 (low),2008,disq1,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,9.5,38.5,26.2
Income quintile 1 (low),2008,disq1,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,1.9,7.5,5.1
Income quintile 1 (low),2008,disq1,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.2,0.7,0.5
Income quintile 1 (low),2008,disq1,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,3.4,13.9,9.5
Income quintile 1 (low),2008,disq1,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.5,1.9,1.3
Income quintile 1 (low),2008,disq1,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,3.5,14.4,9.8
Income quintile 1 (low),2008,disq1,13,Other expenditure,Interest,group,13,Other expenditure,Interest,3.9,15.9,10.8
Income quintile 1 (low),2008,disq1,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,3.9,15.9,10.8
Income quintile 1 (low),2008,disq1,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,13.5,54.9,37.4
Income quintile 1 (low),2008,disq1,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,4.2,17.2,11.7
Income quintile 1 (low),2008,disq1,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,6.7,27,18.4
Income quintile 1 (low),2008,disq1,07.2.02,Petrol,Petrol,class,7,Transport,Transport,5.2,21.2,14.4
Income quintile 2,2008,disq2,1,Food,Food,group,1,Food,Food,19.3,110.7,67.7
Income quintile 2,2008,disq2,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,2.8,16.2,9.9
Income quintile 2,2008,disq2,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.4,19.3,11.8
Income quintile 2,2008,disq2,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,8.6,49.4,30.2
Income quintile 2,2008,disq2,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,2,11.5,7.1
Income quintile 2,2008,disq2,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,2.5,14.2,8.7
Income quintile 2,2008,disq2,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,5.9,34,20.8
Income quintile 2,2008,disq2,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.9,16.8,10.3
Income quintile 2,2008,disq2,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,3,17.2,10.5
Income quintile 2,2008,disq2,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,3.2,18.2,11.1
Income quintile 2,2008,disq2,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,2.3,13.4,8.2
Income quintile 2,2008,disq2,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.8,4.8,3
Income quintile 2,2008,disq2,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,23.9,136.8,83.7
Income quintile 2,2008,disq2,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,12.4,70.9,43.4
Income quintile 2,2008,disq2,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.6,9.1,5.6
Income quintile 2,2008,disq2,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,4.1,23.3,14.3
Income quintile 2,2008,disq2,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,5.9,33.5,20.5
Income quintile 2,2008,disq2,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,4.7,26.6,16.3
Income quintile 2,2008,disq2,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.4,7.7,4.7
Income quintile 2,2008,disq2,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.2,1.3,0.8
Income quintile 2,2008,disq2,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,1.5,8.7,5.3
Income quintile 2,2008,disq2,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.2,1.3,0.8
Income quintile 2,2008,disq2,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.4,2.2,1.3
Income quintile 2,2008,disq2,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.9,5.4,3.3
Income quintile 2,2008,disq2,6,Health,Health,group,6,Health,Health,4.7,26.7,16.3
Income quintile 2,2008,disq2,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,1,5.5,3.3
Income quintile 2,2008,disq2,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,2.9,16.6,10.1
Income quintile 2,2008,disq2,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.8,4.6,2.8
Income quintile 2,2008,disq2,7,Transport,Transport,group,7,Transport,Transport,12.2,69.6,42.6
Income quintile 2,2008,disq2,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,1.7,9.5,5.8
Income quintile 2,2008,disq2,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,8.8,50.5,30.9
Income quintile 2,2008,disq2,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,1.7,9.6,5.9
Income quintile 2,2008,disq2,8,Communication,Communication,group,8,Communication,Communication,3.2,18.2,11.1
Income quintile 2,2008,disq2,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.2,1.1,0.6
Income quintile 2,2008,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.2,0.9,0.6
Income quintile 2,2008,disq2,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,2.8,16.1,9.9
Income quintile 2,2008,disq2,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,7.3,41.7,25.5
Income quintile 2,2008,disq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.2,6.7,4.1
Income quintile 2,2008,disq2,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.1,0.8,0.5
Income quintile 2,2008,disq2,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.9,11,6.7
Income quintile 2,2008,disq2,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,1.9,10.9,6.7
