species,year,variable,units,magnitude,source,data_value,flag
Alfonsino & Long-finned Beryx,2014,Asset value,Dollars,Millions,Environmental Accounts,52.2,
Alfonsino & Long-finned Beryx,2014,Catch,Tonnes,Actual,Environmental Accounts,2567.8,
Alfonsino & Long-finned Beryx,2014,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2015,Asset value,Dollars,Millions,Environmental Accounts,63,
Alfonsino & Long-finned Beryx,2015,Catch,Tonnes,Actual,Environmental Accounts,2693.3,
Alfonsino & Long-finned Beryx,2015,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2016,Asset value,Dollars,Millions,Environmental Accounts,63.2,
Alfonsino & Long-finned Beryx,2016,Catch,Tonnes,Actual,Environmental Accounts,2728.9,
Alfonsino & Long-finned Beryx,2016,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2017,Asset value,Dollars,Millions,Environmental Accounts,80.3,
Alfonsino & Long-finned Beryx,2017,Catch,Tonnes,Actual,Environmental Accounts,2651.8,
Alfonsino & Long-finned Beryx,2017,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2018,Asset value,Dollars,Millions,Environmental Accounts,70,R
Alfonsino & Long-finned Beryx,2018,Catch,Tonnes,Actual,Environmental Accounts,2531,
Alfonsino & Long-finned Beryx,2018,TACC,Tonnes,Actual,Environmental Accounts,2995.7,
Alfonsino & Long-finned Beryx,2019,Asset value,Dollars,Millions,Environmental Accounts,86.9,P
Alfonsino & Long-finned Beryx,2019,Catch,Tonnes,Actual,Environmental Accounts,2342.2,P
Alfonsino & Long-finned Beryx,2019,TACC,Tonnes,Actual,Environmental Accounts,2995.7,P
All species,1996,Asset value,Dollars,Millions,Environmental Accounts,2740.2,
All species,1996,TACC,Tonnes,Actual,Environmental Accounts,635804.1,
All species,1997,Asset value,Dollars,Millions,Environmental Accounts,2725.6,
All species,1997,TACC,Tonnes,Actual,Environmental Accounts,645066.7,
All species,1998,Asset value,Dollars,Millions,Environmental Accounts,2285.3,
All species,1998,TACC,Tonnes,Actual,Environmental Accounts,642339.6,
All species,1999,Asset value,Dollars,Millions,Environmental Accounts,2599.4,
All species,1999,TACC,Tonnes,Actual,Environmental Accounts,659318.1,
All species,2000,Asset value,Dollars,Millions,Environmental Accounts,2641.4,
All species,2000,TACC,Tonnes,Actual,Environmental Accounts,717348.5,
All species,2001,Asset value,Dollars,Millions,Environmental Accounts,3097,
All species,2001,TACC,Tonnes,Actual,Environmental Accounts,686818.1,
All species,2002,Asset value,Dollars,Millions,Environmental Accounts,3322.1,
All species,2002,Catch,Tonnes,Actual,Environmental Accounts,475146.3,
All species,2002,Discount rate,Number,Actual,Environmental Accounts,7.9,
All species,2002,TACC,Tonnes,Actual,Environmental Accounts,645753.1,
All species,2003,Asset value,Dollars,Millions,Environmental Accounts,3743,
All species,2003,Catch,Tonnes,Actual,Environmental Accounts,495284.3,
All species,2003,Discount rate,Number,Actual,Environmental Accounts,7.4,
All species,2003,TACC,Tonnes,Actual,Environmental Accounts,664516.5,
All species,2004,Asset value,Dollars,Millions,Environmental Accounts,4559.9,
All species,2004,Catch,Tonnes,Actual,Environmental Accounts,475901.5,
All species,2004,Discount rate,Number,Actual,Environmental Accounts,7.1,
All species,2004,TACC,Tonnes,Actual,Environmental Accounts,643039.5,
All species,2005,Asset value,Dollars,Millions,Environmental Accounts,4320,
All species,2005,Catch,Tonnes,Actual,Environmental Accounts,469490.8,
All species,2005,Discount rate,Number,Actual,Environmental Accounts,7,
All species,2005,TACC,Tonnes,Actual,Environmental Accounts,595176.8,
All species,2006,Asset value,Dollars,Millions,Environmental Accounts,4018.8,
All species,2006,Catch,Tonnes,Actual,Environmental Accounts,452408.8,
All species,2006,Discount rate,Number,Actual,Environmental Accounts,7.8,
All species,2006,TACC,Tonnes,Actual,Environmental Accounts,595469.4,
All species,2007,Asset value,Dollars,Millions,Environmental Accounts,3872.8,
All species,2007,Catch,Tonnes,Actual,Environmental Accounts,441711.1,
All species,2007,Discount rate,Number,Actual,Environmental Accounts,8.7,
All species,2007,TACC,Tonnes,Actual,Environmental Accounts,590548,
All species,2008,Asset value,Dollars,Millions,Environmental Accounts,3935.4,
All species,2008,Catch,Tonnes,Actual,Environmental Accounts,401016.4,
All species,2008,Discount rate,Number,Actual,Environmental Accounts,9.1,
All species,2008,TACC,Tonnes,Actual,Environmental Accounts,567723.7,
All species,2009,Asset value,Dollars,Millions,Environmental Accounts,4125.3,
All species,2009,Catch,Tonnes,Actual,Environmental Accounts,384859.5,
All species,2009,Discount rate,Number,Actual,Environmental Accounts,8.6,
All species,2009,TACC,Tonnes,Actual,Environmental Accounts,572260.1,
All species,2010,Asset value,Dollars,Millions,Environmental Accounts,4801.5,
All species,2010,Catch,Tonnes,Actual,Environmental Accounts,398244.2,
All species,2010,Discount rate,Number,Actual,Environmental Accounts,8.6,
All species,2010,TACC,Tonnes,Actual,Environmental Accounts,600652.3,
All species,2011,Asset value,Dollars,Millions,Environmental Accounts,4587.5,
All species,2011,Catch,Tonnes,Actual,Environmental Accounts,403719.4,
All species,2011,Discount rate,Number,Actual,Environmental Accounts,8.1,
All species,2011,TACC,Tonnes,Actual,Environmental Accounts,612823.5,
All species,2012,Asset value,Dollars,Millions,Environmental Accounts,5020.1,
All species,2012,Catch,Tonnes,Actual,Environmental Accounts,413326.8,
All species,2012,Discount rate,Number,Actual,Environmental Accounts,8.3,
All species,2012,TACC,Tonnes,Actual,Environmental Accounts,618364.1,
All species,2013,Asset value,Dollars,Millions,Environmental Accounts,4994.5,
All species,2013,Catch,Tonnes,Actual,Environmental Accounts,397000.3,
All species,2013,Discount rate,Number,Actual,Environmental Accounts,7.8,
All species,2013,TACC,Tonnes,Actual,Environmental Accounts,618366.6,
All species,2014,Asset value,Dollars,Millions,Environmental Accounts,5553.4,
All species,2014,Catch,Tonnes,Actual,Environmental Accounts,414139.5,
All species,2014,Discount rate,Number,Actual,Environmental Accounts,7.1,
All species,2014,TACC,Tonnes,Actual,Environmental Accounts,643193.2,
All species,2015,Asset value,Dollars,Millions,Environmental Accounts,6734.1,
All species,2015,Catch,Tonnes,Actual,Environmental Accounts,426644.6,
All species,2015,Discount rate,Number,Actual,Environmental Accounts,6.2,
All species,2015,TACC,Tonnes,Actual,Environmental Accounts,663730.5,
All species,2016,Asset value,Dollars,Millions,Environmental Accounts,7422.4,
All species,2016,Catch,Tonnes,Actual,Environmental Accounts,400491.6,
All species,2016,Discount rate,Number,Actual,Environmental Accounts,5.4,
All species,2016,TACC,Tonnes,Actual,Environmental Accounts,646127.2,
All species,2017,Asset value,Dollars,Millions,Environmental Accounts,7702.6,
All species,2017,Catch,Tonnes,Actual,Environmental Accounts,400570.8,
All species,2017,Discount rate,Number,Actual,Environmental Accounts,5,
All species,2017,TACC,Tonnes,Actual,Environmental Accounts,592452.2,
All species,2018,Asset value,Dollars,Millions,Environmental Accounts,8965.8,R
All species,2018,Catch,Tonnes,Actual,Environmental Accounts,396773.7,R
All species,2018,Discount rate,Number,Actual,Environmental Accounts,4.4,R
All species,2018,TACC,Tonnes,Actual,Environmental Accounts,589241.3,
All species,2019,Asset value,Dollars,Millions,Environmental Accounts,10352,P
All species,2019,Catch,Tonnes,Actual,Environmental Accounts,375392,P
All species,2019,Discount rate,Number,Actual,Environmental Accounts,3.9,P
All species,2019,TACC,Tonnes,Actual,Environmental Accounts,591009,P
Anchovy,2003,Asset value,Dollars,Millions,Environmental Accounts,1,
Anchovy,2003,Catch,Tonnes,Actual,Environmental Accounts,8.3,
Anchovy,2003,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2004,Asset value,Dollars,Millions,Environmental Accounts,1.1,
Anchovy,2004,Catch,Tonnes,Actual,Environmental Accounts,14.5,
Anchovy,2004,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2005,Asset value,Dollars,Millions,Environmental Accounts,1.2,
Anchovy,2005,Catch,Tonnes,Actual,Environmental Accounts,11.7,
Anchovy,2005,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2006,Asset value,Dollars,Millions,Environmental Accounts,0.1,
Anchovy,2006,Catch,Tonnes,Actual,Environmental Accounts,10,
Anchovy,2006,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2007,Asset value,Dollars,Millions,Environmental Accounts,0.1,
Anchovy,2007,Catch,Tonnes,Actual,Environmental Accounts,2.6,
Anchovy,2007,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2008,Asset value,Dollars,Millions,Environmental Accounts,0.1,
Anchovy,2008,Catch,Tonnes,Actual,Environmental Accounts,0.4,
Anchovy,2008,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2009,Asset value,Dollars,Millions,Environmental Accounts,0.1,
Anchovy,2009,Catch,Tonnes,Actual,Environmental Accounts,1.7,
Anchovy,2009,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2010,Asset value,Dollars,Millions,Environmental Accounts,0.1,
Anchovy,2010,Catch,Tonnes,Actual,Environmental Accounts,12.5,
Anchovy,2010,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2011,Asset value,Dollars,Millions,Environmental Accounts,0.1,
Anchovy,2011,Catch,Tonnes,Actual,Environmental Accounts,1.2,
Anchovy,2011,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2012,Asset value,Dollars,Millions,Environmental Accounts,,
Anchovy,2012,Catch,Tonnes,Actual,Environmental Accounts,0.7,
Anchovy,2012,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2013,Asset value,Dollars,Millions,Environmental Accounts,0,
Anchovy,2013,Catch,Tonnes,Actual,Environmental Accounts,0.5,
Anchovy,2013,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2014,Asset value,Dollars,Millions,Environmental Accounts,,
Anchovy,2014,Catch,Tonnes,Actual,Environmental Accounts,2,
Anchovy,2014,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2015,Asset value,Dollars,Millions,Environmental Accounts,,
Anchovy,2015,Catch,Tonnes,Actual,Environmental Accounts,1,
Anchovy,2015,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2016,Asset value,Dollars,Millions,Environmental Accounts,0.2,
Anchovy,2016,Catch,Tonnes,Actual,Environmental Accounts,12.6,
Anchovy,2016,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2017,Asset value,Dollars,Millions,Environmental Accounts,0.1,
Anchovy,2017,Catch,Tonnes,Actual,Environmental Accounts,9.4,
Anchovy,2017,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2018,Asset value,Dollars,Millions,Environmental Accounts,0.1,
Anchovy,2018,Catch,Tonnes,Actual,Environmental Accounts,0.2,
Anchovy,2018,TACC,Tonnes,Actual,Environmental Accounts,560,
Anchovy,2019,Asset value,Dollars,Millions,Environmental Accounts,0.3,P
Anchovy,2019,Catch,Tonnes,Actual,Environmental Accounts,3.6,P
Anchovy,2019,TACC,Tonnes,Actual,Environmental Accounts,560,P
Arrow Squid,1996,Asset value,Dollars,Millions,Environmental Accounts,166.6,
Arrow Squid,1996,TACC,Tonnes,Actual,Environmental Accounts,123332.3,
Arrow Squid,1997,Asset value,Dollars,Millions,Environmental Accounts,140,
Arrow Squid,1997,TACC,Tonnes,Actual,Environmental Accounts,123332.3,
Arrow Squid,1998,Asset value,Dollars,Millions,Environmental Accounts,76.3,
Arrow Squid,1998,TACC,Tonnes,Actual,Environmental Accounts,123332.3,
Arrow Squid,1999,Asset value,Dollars,Millions,Environmental Accounts,136.3,
Arrow Squid,1999,TACC,Tonnes,Actual,Environmental Accounts,127332.3,
Arrow Squid,2000,Asset value,Dollars,Millions,Environmental Accounts,132.3,
Arrow Squid,2000,TACC,Tonnes,Actual,Environmental Accounts,127332.3,
Arrow Squid,2001,Asset value,Dollars,Millions,Environmental Accounts,80.5,
Arrow Squid,2001,TACC,Tonnes,Actual,Environmental Accounts,127332.3,
Arrow Squid,2002,Asset value,Dollars,Millions,Environmental Accounts,57.2,
Arrow Squid,2002,Catch,Tonnes,Actual,Environmental Accounts,48173.1,
Arrow Squid,2002,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2003,Asset value,Dollars,Millions,Environmental Accounts,114.4,
Arrow Squid,2003,Catch,Tonnes,Actual,Environmental Accounts,43719.4,
Arrow Squid,2003,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2004,Asset value,Dollars,Millions,Environmental Accounts,306.4,
Arrow Squid,2004,Catch,Tonnes,Actual,Environmental Accounts,84962.3,
Arrow Squid,2004,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2005,Asset value,Dollars,Millions,Environmental Accounts,169.2,
Arrow Squid,2005,Catch,Tonnes,Actual,Environmental Accounts,86074.5,
Arrow Squid,2005,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2006,Asset value,Dollars,Millions,Environmental Accounts,341.5,
Arrow Squid,2006,Catch,Tonnes,Actual,Environmental Accounts,72418.4,
Arrow Squid,2006,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2007,Asset value,Dollars,Millions,Environmental Accounts,175,
Arrow Squid,2007,Catch,Tonnes,Actual,Environmental Accounts,70252.7,
Arrow Squid,2007,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2008,Asset value,Dollars,Millions,Environmental Accounts,108.1,
Arrow Squid,2008,Catch,Tonnes,Actual,Environmental Accounts,56035.2,
Arrow Squid,2008,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2009,Asset value,Dollars,Millions,Environmental Accounts,121.6,
Arrow Squid,2009,Catch,Tonnes,Actual,Environmental Accounts,46310.9,
Arrow Squid,2009,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2010,Asset value,Dollars,Millions,Environmental Accounts,200.1,
Arrow Squid,2010,Catch,Tonnes,Actual,Environmental Accounts,32436,
Arrow Squid,2010,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2011,Asset value,Dollars,Millions,Environmental Accounts,146.3,
Arrow Squid,2011,Catch,Tonnes,Actual,Environmental Accounts,37304.4,
Arrow Squid,2011,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2012,Asset value,Dollars,Millions,Environmental Accounts,151.8,
Arrow Squid,2012,Catch,Tonnes,Actual,Environmental Accounts,35207,
Arrow Squid,2012,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2013,Asset value,Dollars,Millions,Environmental Accounts,78.8,
Arrow Squid,2013,Catch,Tonnes,Actual,Environmental Accounts,24636.4,
Arrow Squid,2013,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2014,Asset value,Dollars,Millions,Environmental Accounts,144.9,
Arrow Squid,2014,Catch,Tonnes,Actual,Environmental Accounts,15053.2,
Arrow Squid,2014,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2015,Asset value,Dollars,Millions,Environmental Accounts,183.1,
Arrow Squid,2015,Catch,Tonnes,Actual,Environmental Accounts,16310.1,
Arrow Squid,2015,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2016,Asset value,Dollars,Millions,Environmental Accounts,99.9,
Arrow Squid,2016,Catch,Tonnes,Actual,Environmental Accounts,43126.7,
Arrow Squid,2016,TACC,Tonnes,Actual,Environmental Accounts,127332.4,
Arrow Squid,2017,Asset value,Dollars,Millions,Environmental Accounts,132.8,
Arrow Squid,2017,Catch,Tonnes,Actual,Environmental Accounts,18462.1,
Arrow Squid,2017,TACC,Tonnes,Actual,Environmental Accounts,82120.3,
Arrow Squid,2018,Asset value,Dollars,Millions,Environmental Accounts,138.7,R
Arrow Squid,2018,Catch,Tonnes,Actual,Environmental Accounts,23069.3,R
Arrow Squid,2018,TACC,Tonnes,Actual,Environmental Accounts,82120.3,
Arrow Squid,2019,Asset value,Dollars,Millions,Environmental Accounts,149.4,P
Arrow Squid,2019,Catch,Tonnes,Actual,Environmental Accounts,43391.8,P
Arrow Squid,2019,TACC,Tonnes,Actual,Environmental Accounts,82120.3,P
Barracouta,1996,Asset value,Dollars,Millions,Environmental Accounts,46.3,
Barracouta,1996,TACC,Tonnes,Actual,Environmental Accounts,33202.1,
Barracouta,1997,Asset value,Dollars,Millions,Environmental Accounts,35.2,
Barracouta,1997,TACC,Tonnes,Actual,Environmental Accounts,34232.6,
Barracouta,1998,Asset value,Dollars,Millions,Environmental Accounts,28.5,
Barracouta,1998,TACC,Tonnes,Actual,Environmental Accounts,34232.6,
Barracouta,1999,Asset value,Dollars,Millions,Environmental Accounts,38.6,
Barracouta,1999,TACC,Tonnes,Actual,Environmental Accounts,32421,
Barracouta,2000,Asset value,Dollars,Millions,Environmental Accounts,39,
Barracouta,2000,TACC,Tonnes,Actual,Environmental Accounts,32421,
Barracouta,2001,Asset value,Dollars,Millions,Environmental Accounts,27.8,
Barracouta,2001,TACC,Tonnes,Actual,Environmental Accounts,32421,
Barracouta,2002,Asset value,Dollars,Millions,Environmental Accounts,37.9,
Barracouta,2002,Catch,Tonnes,Actual,Environmental Accounts,21600.2,
Barracouta,2002,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2003,Asset value,Dollars,Millions,Environmental Accounts,33.3,
Barracouta,2003,Catch,Tonnes,Actual,Environmental Accounts,25036.2,
Barracouta,2003,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2004,Asset value,Dollars,Millions,Environmental Accounts,47,
Barracouta,2004,Catch,Tonnes,Actual,Environmental Accounts,22459.1,
Barracouta,2004,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2005,Asset value,Dollars,Millions,Environmental Accounts,47.6,
Barracouta,2005,Catch,Tonnes,Actual,Environmental Accounts,26932,
Barracouta,2005,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2006,Asset value,Dollars,Millions,Environmental Accounts,44.9,
Barracouta,2006,Catch,Tonnes,Actual,Environmental Accounts,27881.7,
Barracouta,2006,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2007,Asset value,Dollars,Millions,Environmental Accounts,38.7,
Barracouta,2007,Catch,Tonnes,Actual,Environmental Accounts,29617.6,
Barracouta,2007,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2008,Asset value,Dollars,Millions,Environmental Accounts,41.5,
Barracouta,2008,Catch,Tonnes,Actual,Environmental Accounts,27968.5,
Barracouta,2008,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2009,Asset value,Dollars,Millions,Environmental Accounts,42.3,
Barracouta,2009,Catch,Tonnes,Actual,Environmental Accounts,26445,
Barracouta,2009,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2010,Asset value,Dollars,Millions,Environmental Accounts,40,
Barracouta,2010,Catch,Tonnes,Actual,Environmental Accounts,28450.7,
Barracouta,2010,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2011,Asset value,Dollars,Millions,Environmental Accounts,50.4,
Barracouta,2011,Catch,Tonnes,Actual,Environmental Accounts,26940,
Barracouta,2011,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2012,Asset value,Dollars,Millions,Environmental Accounts,45,
Barracouta,2012,Catch,Tonnes,Actual,Environmental Accounts,26441.4,
Barracouta,2012,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2013,Asset value,Dollars,Millions,Environmental Accounts,47.7,
Barracouta,2013,Catch,Tonnes,Actual,Environmental Accounts,24972,
Barracouta,2013,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2014,Asset value,Dollars,Millions,Environmental Accounts,55.3,
Barracouta,2014,Catch,Tonnes,Actual,Environmental Accounts,26314.3,
Barracouta,2014,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2015,Asset value,Dollars,Millions,Environmental Accounts,66.7,
Barracouta,2015,Catch,Tonnes,Actual,Environmental Accounts,24327.7,
Barracouta,2015,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2016,Asset value,Dollars,Millions,Environmental Accounts,70.8,
Barracouta,2016,Catch,Tonnes,Actual,Environmental Accounts,21511,
Barracouta,2016,TACC,Tonnes,Actual,Environmental Accounts,32672.5,
Barracouta,2017,Asset value,Dollars,Millions,Environmental Accounts,73,
Barracouta,2017,Catch,Tonnes,Actual,Environmental Accounts,28169.6,
Barracouta,2017,TACC,Tonnes,Actual,Environmental Accounts,33402.5,
Barracouta,2018,Asset value,Dollars,Millions,Environmental Accounts,82.4,R
Barracouta,2018,Catch,Tonnes,Actual,Environmental Accounts,29070.9,R
Barracouta,2018,TACC,Tonnes,Actual,Environmental Accounts,33402.5,
Barracouta,2019,Asset value,Dollars,Millions,Environmental Accounts,83.3,P
Barracouta,2019,Catch,Tonnes,Actual,Environmental Accounts,18408.6,P
Barracouta,2019,TACC,Tonnes,Actual,Environmental Accounts,33402.5,P
Bigeye Tuna,2005,Asset value,Dollars,Millions,Environmental Accounts,28.8,
Bigeye Tuna,2005,Catch,Tonnes,Actual,Environmental Accounts,162.3,
Bigeye Tuna,2005,TACC,Tonnes,Actual,Environmental Accounts,714,
Bigeye Tuna,2006,Asset value,Dollars,Millions,Environmental Accounts,12.9,
Bigeye Tuna,2006,Catch,Tonnes,Actual,Environmental Accounts,177.4,
Bigeye Tuna,2006,TACC,Tonnes,Actual,Environmental Accounts,714,
Bigeye Tuna,2007,Asset value,Dollars,Millions,Environmental Accounts,8.6,
Bigeye Tuna,2007,Catch,Tonnes,Actual,Environmental Accounts,196.1,
Bigeye Tuna,2007,TACC,Tonnes,Actual,Environmental Accounts,714,
Bigeye Tuna,2008,Asset value,Dollars,Millions,Environmental Accounts,5,
Bigeye Tuna,2008,Catch,Tonnes,Actual,Environmental Accounts,140.5,
Bigeye Tuna,2008,TACC,Tonnes,Actual,Environmental Accounts,714,
Bigeye Tuna,2009,Asset value,Dollars,Millions,Environmental Accounts,1.1,
Bigeye Tuna,2009,Catch,Tonnes,Actual,Environmental Accounts,236.6,
Bigeye Tuna,2009,TACC,Tonnes,Actual,Environmental Accounts,714,
Bigeye Tuna,2010,Asset value,Dollars,Millions,Environmental Accounts,7,
Bigeye Tuna,2010,Catch,Tonnes,Actual,Environmental Accounts,161.2,
Bigeye Tuna,2010,TACC,Tonnes,Actual,Environmental Accounts,714,
Bigeye Tuna,2011,Asset value,Dollars,Millions,Environmental Accounts,7,
Bigeye Tuna,2011,Catch,Tonnes,Actual,Environmental Accounts,181.3,
Bigeye Tuna,2011,TACC,Tonnes,Actual,Environmental Accounts,714,
Bigeye Tuna,2012,Asset value,Dollars,Millions,Environmental Accounts,2.4,
Bigeye Tuna,2012,Catch,Tonnes,Actual,Environmental Accounts,157.2,
